"","Canonical","NonCanonical","Atypical"
"505","BTBD7","TMEM14B","CDCA4"
"506","LIFR","SYNJ1","PRSS2"
"507","CCDC152","ATP5PO","GUCA2A"
"508","GLYATL3","ATP5MJ","RFC3"
"509","TMT1A","RAVER1","TMEM171"
"510","NANOS3","USP39","RNASE1"
"511","NKD2","TMEM223","CLEC3B"
"512","SEC61G","PCBD1","SNAI1"
"513","EXOSC8","MYL6B","SLC10A2"
"514","NOX4","RPL3","SCARNA9"
"515","STXBP5","ZFAS1","IL1RAP"
"516","NR3C2","NMB","PCMTD2"
"517","RPL23AP53","SNRK","RPS26"
"518","DISP2","TIMM9","ARGFXP2"
"519","MRPL51","VPS25","RPL23"
"520","RAVER2","PARGP1","LOXL2"
"521","GFPT1","MRPL9","FBXO41"
"522","SYNE3","ZNHIT3","IL11"
"523","KCTD12","CMC2","TSPAN1"
"524","ZNF511","MYCBP","SH3PXD2B"
"525","FNIP2","HMBS","GGTA1"
"526","ANKRD36BP1","USP28","LINC01555"
"527","EIF3H","MRPL32","KRTAP13-2"
"528","BTAF1","MRPL34","DLL4"
"529","H2AC8","PIP5K1C","RPL30"
"530","RPS21","ZNF500","RPL23AP87"
"531","RECQL4","POP4","COL5A1"
"532","KRAS","MAPRE3-AS1","CLDN23"
"533","PPIL1","GARS1-DT","CENPF"
"534","BYSL","POLR2J4","RPL23AP7"
"535","SYNJ1","HIPK1","CLECL1P"
"536","NAA11","HYPK","HECW2"
"537","TRANK1","PPM1A","PIP5K1C"
"538","RPUSD1","SUPT4H1","SUV39H1"
"539","COL8A1","CKS2","CCR10"
"540","PKIB","ZNF346","RPL3"
"541","NOVA1","SSBP1","RPL13A"
"542","MTM1","DAP3","MAP4K3"
"543","FJX1","PRKAA1","TP53TG1"
"544","SEMA6D","OXLD1","STRIP2"
"545","MND1","SSU72","ZYX"
"546","PSMB3","NOTCH1","FAM217B"
"547","AOC1","DPY30","TYMP"
"548","FZD5","H2BC3","CEP97"
"549","RABGAP1","EEF1A1","LCLAT1"
"550","CDH19","BTF3","SHC3"
"551","TSHZ1","MRTFA","LCTL"
"552","GHR","MANF","KDM6B"
"553","GOLM1","H4C4","SGO2"
"554","TFDP2","ARHGEF11","NUFIP1"
"555","PPP1R12B","MRPL13","RAB36"
"556","MTUS1","TRAPPC11","ACOT13"
"557","SH3RF1","ANKRD11","CDK5RAP1"
"558","UBTD1","MRPL41","TEX11"
"559","C1orf21","SVBP","RPL14"
"560","AGTR1","RSKR","RAVER1"
"561","TENT5A","U2SURP","REP15"
"562","KIAA0513","MICOS10","ATAD2"
"563","SMPDL3A","RPSAP36","MDFI"
"564","GSTP1","ADAT1","UNKL"
"565","GATC","PSMB6","KLHL23"
"566","ADGRB3","RPS3","KIF23-AS1"
"567","TPX2","TPTE","GDPD5"
"568","DKFZP586I1420","SNORA53","PCDHB14"
"569","SRPX2","PRDX4","PIERCE2"
"570","GPSM2","SNORA81","TTK"
"571","SIDT1","TMEM134","GFRA2"
"572","DNAAF11","REL","SNHG29"
"573","CCDC89","IFITM3","PDE7A"
"574","TMPRSS3","SLC25A3","SPINK5"
"575","ZNF790-AS1","C20orf141","LBX1"
"576","MBOAT1","MCRIP2","ZNRF3"
"577","LCLAT1","NAV1","MIPEPP3"
"578","ZNF540","RPS19BP1","ACAT1"
"579","SIX1","POLR2H","ATRIP"
"580","SMPD3","SUB1","MCM8"
"581","H2AC20","SNORA73A","KIF2C"
"582","SNX12","NACA4P","ENG"
"583","BFSP1","ZNF713","FIGNL1"
"584","VSNL1","H3C10","MYOM3"
"585","RAPGEFL1","CLNS1A","SH3BP2"
"586","UQCC5","EPM2AIP1","TRIB3"
"587","CDKL2","TEX38","ASPM"
"588","HIPK2","PFDN2","SLC22A18AS"
"589","BCAR3","FAM219A","RPS10P7"
"590","FOXD3","NPC2","PSD"
"591","EIF6","ZNF407","C4orf19"
"592","SCNN1B","PPP1R35","CCDC150"
"593","SEMA3E","CNPY2","SPATA33"
"594","CCNQ","LINC00597","TIE1"
"595","BTBD16","VTI1B","AMOTL2"
"596","POLR1D","LCTL","C2orf88"
"597","TMEM30B","IFT20","FAM74A4"
"598","NRXN1","HERC1","JCHAIN"
"599","ZBTB7C","ATAD2B","LINC01001"
"600","DDX25","CPEB2","TMEM253"
"601","ACD","PDZD11","DNAAF11"
"602","FAM89A","REX1BD","EXTL3-AS1"
"603","HSD11B2","RANBP1","RPL18A"
"604","S100A9","ARMC10","ITGA2"
"605","IFRD2","POP5","RPL12"
"606","PXMP4","ZNF417","GATA2-AS1"
"607","ALPI","RRP36","ENDOD1"
"608","CETN2","TIMM8A","CSGALNACT1"
"609","WSCD1","RN7SK","KRT7"
"610","LRRC20","TXNL4A","CABYR"
"611","VSX1","RWDD1","FOLR2"
"612","NTN4","PTMA","CFAP45"
"613","FRMD4B","COA4","HIP1"
"614","SKA3","MGST2","SLC66A1"
"615","ENY2","MEGF8","LDHD"
"616","SNORA73B","ZNF827","KIFC1"
"617","C1orf220","NDUFA6","SH3TC2"
"618","ABI3BP","UBE2D1","NUDCD1"
"619","DYNLT3","ISCA2","LDLRAD3"
"620","HYCC2","KCTD21-AS1","VSIG2"
"621","KCNB1","H2BC8","RIMKLA"
"622","MIR17HG","AGAP1","DHRS11"
"623","ABCC8","PPIAP80","SLC39A8"
"624","NEUROD1","SURF1","GSDMC"
"625","PDGFD","COMMD1","SLC51B"
"626","SLC2A13","PTRH2","CXCL12"
"627","SLC5A8","FBL","PRELID3A"
"628","ZNF44","MRPS28","INSL5"
"629","KLF4","MRPL37","FABP6"
"630","TGM2","CLOCK","PODNL1"
"631","H2AZ2","TMEM126A","TMEM238L"
"632","RPL27","CIAO2B","SMPDL3A"
"633","COL19A1","SPCS3","SERPINE2"
"634","SVIL","DHX38","RPS7"
