"","Canonical","NonCanonical","Atypical"
"620","LTBP2","CHST11","TBX10"
"621","BOC","NTSR1","AIFM3"
"622","PRR15","SIPA1","NCEH1"
"623","CD22","ETS2","DFFB"
"624","OIP5","HOPX","NUBPL"
"625","FAM162A","S100A13","PLA1A"
"626","P3H1","ARMCX1","RASGRP1"
"627","THEMIS","WDFY2","RIGI"
"628","DBR1","PAX3","KIFC3"
"629","FGR","HNF1B","KLHL40"
"630","TFPI","DOCK4","EFNA3"
"631","WDFY4","GPX8","EIF5A2"
"632","MMP25","PRDM1","APOC1"
"633","CD70","MYBPC2","ZFHX2"
"634","DSCAML1","AQP4","SEC14L3"
"635","STRBP","CAMK2N2","ANGPTL4"
"636","ACKR4","CFAP68","ALOX5AP"
"637","PMCHL1","PIK3CG","CST7"
"638","FNBP1L","GGTA1","PGAP3"
"639","CARD18","A2M","RPL31"
"640","IMMT","ATP23","AGTR1"
"641","CST7","ZNF780A","SHOX2"
"642","CD6","FBXO17","VEGFC"
"643","TAAR9","LIME1","CLEC4E"
"644","SIPA1","EEF1AKMT1","POP4"
"645","NDUFA10","SUCLG1","PLEKHA6"
"646","NFKB2","PLOD1","TMEM260"
"647","U2AF1L4","ALX1","UCN3"
"648","TNFAIP8L2","PIP4K2A","DNAAF9"
"649","HNRNPM","PILRA","ANKS4B"
