"","Canonical","NonCanonical","Atypical"
"626","CACNA1I","YJEFN3",NA
"627","KRT77","C3orf84",NA
"628","LIPJ","LRRTM3",NA
"629","DNAI1","LPAL2",NA
"630","LPAL2","HCCAT5",NA
"631","EIF4E1B","SMTNL2",NA
"632","HBD","FUT5",NA
"633","MGAT4C","SOX21",NA
"634","LDLRAD1","NLRP4",NA
"635","TXNDC8","ISCU",NA
"636","EPHA5","SPACA7",NA
"637","LRRC4C","ADAMTS7",NA
"638","NEUROD2","RNASE11",NA
"639","SLC24A2","USP26",NA
"640","CLEC2A","CCDC74B",NA
"641","CTAGE1","BMP10",NA
"642","AMER3","MEIOC",NA
"643","WDR87","LSMEM2",NA
"644","HEATR9","SNX31",NA
"645","SLITRK5","KLK5",NA
"646","PPIB","CAMKK1",NA
"647","PAQR9","TRIML2",NA
"648","MYO3A","WTIP",NA
"649","MUC21","CCDC8",NA
"650","TTBK1","SIGLEC8",NA
"651","TTTY12","KRAS",NA
"652","NDUFA1","ERICH3",NA
"653","SLC35A3","WNT7B",NA
"654","ABCB5","TNNT1",NA
"655","KCNJ16","EIF4E1B",NA
"656","PCDH11X","HAPLN2",NA
"657","NAT8","SOAT2",NA
"658","AGXT2","ZNRF4",NA
"659","LHX5","RASIP1",NA
"660","WNT7A","PRR18",NA
"661","HOGA1","TRIM50",NA
"662","THEM5","CHD5",NA
"663","OR1A2","OTUD6A",NA
"664","GNRHR","CYP4B1",NA
"665","CLRN1","CLDND2",NA
"666","IL5RA","CATSPER4",NA
"667","RTL4","MOBP",NA
"668","C2orf50","BCAM",NA
"669","VGF","TEX35",NA
"670","OR1A1","GPR55",NA
"671","OR51B5","SCN4A",NA
"672","GBX2","OR2M3",NA
"673","OR8G1","IRS4",NA
"674","LGI1","PAQR7",NA
"675","RXFP1","SLC6A17",NA
"676","SPATA4","MAN2A1",NA
"677","RNF180","TRIML1",NA
"678","PAX2","WFDC12",NA
"679","KNDC1","CARD11",NA
"680","GRM2","CELA3B",NA
"681","NAA38","RPL39",NA
"682","OR52E6","CACNA1H",NA
"683","PNLIPRP3","DAOA",NA
"684","LINC03042","CA4",NA
"685","PMP2","KCNIP1",NA
"686","CCDC141","KCNH3",NA
"687","KLHL40","SSTR3",NA
"688","AACSP1","CCDC63",NA
"689","TMCO5A","CMTM5",NA
"690","PCDHB17P","DPRX",NA
"691","KRT27","TPPP2",NA
"692","MMP24","DGCR5",NA
"693","CCL16","OR4D1",NA
"694","DHFR","NKPD1",NA
"695","RNF17","C1QL2",NA
"696","NR0B1","MTSS2",NA
"697","ANKRD30A","ZSCAN5B",NA
"698","NPY1R","IL31RA",NA
"699","KCNH5","ACKR2",NA
"700","KCND2","AKR1B15",NA
"701","GLRA3","FRMPD1",NA
"702","PGLYRP3","UPK1A",NA
"703","SLC17A8","HRK",NA
"704","SLC30A10","HTN1",NA
"705","OR2J2","OR13J1",NA
"706","TRIM61","PCARE",NA
"707","HOXD12","GBX2",NA
"708","TEX36","PLA2G1B",NA
"709","SLC2A14","ANKRD13B",NA
"710","MS4A15","SYT6",NA
"711","CTNND2","SLC8A2",NA
"712","CYP3A4","RPH3A",NA
"713","LIX1","SLC34A2",NA
"714","C2orf78","PTPRQ",NA
"715","PPP3R2","SPACDR",NA
"716","CDKL2","EWSAT1",NA
"717","TMEM114","RLN3",NA
"718","NMBR","SYPL2",NA
"719","SPIC","DBH",NA
"720","AMER2","LGALS13",NA
"721","MED12L","CFAP54",NA
"722","CCDC40","F11",NA
"723","AMDHD1","APOA5",NA
"724","DMRTA1","PNLIP",NA
"725","CCR4","DNASE2B",NA
"726","MAGEB6","GLP1R",NA
"727","KCNIP1","MYOD1",NA
"728","CABP2","OR6C1",NA
"729","LRAT","SLC17A6",NA
"730","RGS7","MAD2L2",NA
"731","CER1","GRID2",NA
"732","CYP4B1","ANKRD30A",NA
"733","C6","CAPZA3",NA
"734","ATXN8OS","SOST",NA
"735","PDYN","ACTL7A",NA
"736","PIK3C2G","PRRX2",NA
"737","SLC12A1","SPX",NA
"738","PCDH15","LDB3",NA
"739","CLEC4C","GDF10",NA
"740","TRIM67","FCN1",NA
"741","C1S","CRIP2",NA
"742","AKAIN1","OR7D4",NA
"743","ADAM29","GRID1",NA
"744","NXT1","TRPV4",NA
"745","DBX1","DCD",NA
"746","CHRNB4","FLT4",NA
"747","PRAMEF19","CDH16",NA
"748","OLAH","CAPN11",NA
"749","KLK14","OR6B2",NA
