"","Canonical","NonCanonical","Atypical"
"631","CCDC40","HSPA8",NA
"632","NUP155","CATSPER1",NA
"633","ADCY5","CNPY1",NA
"634","PROZ","TMPRSS6",NA
"635","CRYZ","ZFHX2",NA
"636","LINC02914","PIGF",NA
"637","CD22","MDGA1",NA
"638","SLC9C2","ZNF157",NA
"639","RNASEH2A","LINC00856",NA
"640","ULBP3","CFP",NA
"641","OOEP","PROKR2",NA
"642","P2RX6","CCDC40",NA
"643","HSPA8","PPP1R1A",NA
"644","MCM6","PCDH11X",NA
"645","OVOL2","PSMB5",NA
"646","SLC22A6","PLB1",NA
"647","OR52B4","GPR3",NA
"648","PNOC","TMEM33",NA
"649","SGPP2","SPOCD1",NA
"650","IL1RAPL2","TFB2M",NA
"651","CDH23","POU2F3",NA
"652","COL20A1","GOLGA2P5",NA
"653","IFNW1","F13B",NA
"654","HRH3","OR52A4P",NA
"655","OR51S1","NCOR2",NA
"656","AMER2","GALNT16",NA
"657","SLCO5A1","KCNF1",NA
"658","EFHC1","OLIG1",NA
"659","TLX1","TAS1R1",NA
"660","CLRN1","OR1A1",NA
"661","PYGM","CEACAM22P",NA
"662","GCAT","LCE6A",NA
"663","LOC442028","ASIC5",NA
"664","VAMP2","CHRNB4",NA
"665","ANO5","PABPC1L2B",NA
"666","CD28","PPP1R2C",NA
"667","ART1","MICAL2",NA
"668","OR1L1","OR4C11",NA
"669","SAMD14","STK35",NA
"670","MYO15A","PCDHA12",NA
"671","MAPT","IL26",NA
"672","TSGA10IP","KCNJ15",NA
"673","KCNE5","TMEM105",NA
"674","CXorf66","MTUS2",NA
"675","SCN7A","PRB1",NA
"676","FCRL4","IRX5",NA
"677","HEPHL1","PDGFB",NA
"678","KCNF1","COPS2",NA
"679","SPPL2C","NYAP1",NA
"680","FAM218A","ADRA1A",NA
"681","PLA2R1","IRF5",NA
"682","RGS7BP","HAS1",NA
"683","SLC10A4","PRAMEF10",NA
"684","HABP2","SYT6",NA
"685","DDX21","CDH23",NA
"686","KCNJ16","OR52A1",NA
"687","ANGPT4","ADIPOQ",NA
"688","LCE4A","PRKN",NA
"689","LINC03006","C12orf71",NA
"690","ACMSD","OR1D2",NA
"691","FAIM2","KCP",NA
"692","DDIT4","LILRA4",NA
"693","KCNIP1","ODAD3",NA
"694","UNC79","LPAR4",NA
"695","CSF3R","TAS1R2",NA
"696","SERPINB10","KLHL28",NA
"697","SPATA4","PRR21",NA
"698","OR52E4","SCP2",NA
"699","PRDM14","PCDHB9",NA
"700","NOXA1","DENND10",NA
"701","OR10A5","PCDHA2",NA
"702","ARRDC5","ZNF843",NA
"703","SPACDR","CBLN3",NA
"704","TBX10","IGLC1",NA
"705","SELENOW","CRLF1",NA
"706","IL20","C5orf60",NA
"707","EYA2","TAOK2",NA
"708","SFTPB","SLC39A6",NA
"709","SNORD9","OR5B12",NA
"710","C8B","RGS8",NA
"711","UHRF1","TMEM9B",NA
"712","LRRC10B","DRD3",NA
"713","HOXD10","ABHD8",NA
"714","IRF5","PDE6G",NA
"715","HCG9","GFI1B",NA
"716","OR51I1","KCNIP3",NA
"717","VWA5B1","KCNK4",NA
"718","KCNN1","OR1J1",NA
"719","PLPP5","THRSP",NA
"720","CNGA3","CST9L",NA
"721","MMP16","ANKRD65",NA
"722","OTOP2","GNMT",NA
"723","SLC1A6","KLHL4",NA
"724","OSTN","LINC03006",NA
"725","TEX44","STKLD1",NA
"726","NECAB2","JPH4",NA
"727","ORC1","C10orf71",NA
"728","HOXC13","DLL1",NA
"729","ALDOAP2","SPANXN5",NA
"730","KAAG1","GLRX3",NA
"731","DGKI","TMEM145",NA
"732","OR14J1","TMEM74",NA
"733","DNASE2B","HMG20A",NA
"734","SHBG","OAZ1",NA
"735","KCNK10","TRIM61",NA
"736","EVX1","DMRTA1",NA
"737","SLC4A3","ASB18",NA
"738","HAS1","C1QL1",NA
"739","TTTY12","CLRN1",NA
"740","KRIT1","OSBPL6",NA
"741","BSND","MOAP1",NA
"742","GATA1","ODAD2",NA
"743","MATCAP2","DMBX1",NA
"744","PTMS","OR1I1",NA
"745","NALCN","SLC12A7",NA
"746","OR8S1","PNPLA7",NA
"747","SRGAP3","DRD5",NA
"748","NXPH2","KISS1R",NA
"749","SH3GL2","CBX8",NA
"750","SPMIP7","LMNTD1",NA
"751","GNAT1","GYS2",NA
"752","ENTPD2","BNIP2",NA
"753","SIX2","DPPA3",NA
"754","OR13C4","CARD6",NA
"755","ANKRD13B","ART4",NA
"756","WNT7A","SEZ6L2",NA
"757","PPBPP2","KCNK12",NA
"758","EFHC2","NUDT9",NA
"759","PLP1","SMCP",NA
"760","FEZF2","VWA7",NA
"761","ESCO2","KIRREL3",NA
"762","ESYT3","LINC00552",NA
"763","EVC","GBX2",NA
"764","ADGRG2","PGLYRP3",NA
"765","CSMD3","APOBEC3D",NA
"766","CARTPT","CLIP3",NA
"767","FOSB","ADCY5",NA
"768","C10orf53","CCL27",NA
"769","OR51D1","DLX2",NA
"770","URAD","DLX4",NA
