"","Canonical","NonCanonical","Atypical"
"430",NA,"NGF",NA
"431",NA,"PDE7A",NA
"432",NA,"RNA28SN5",NA
"433",NA,"SYNJ1",NA
"434",NA,"SEMA4D",NA
"435",NA,"MAPRE3-AS1",NA
"436",NA,"HCFC1",NA
"437",NA,"SNHG9",NA
"438",NA,"MISP3",NA
"439",NA,"GPR182",NA
"440",NA,"LSM5",NA
"441",NA,"DPP9",NA
"442",NA,"OSR2",NA
"443",NA,"H4C6",NA
"444",NA,"TPT1",NA
"445",NA,"SIVA1",NA
"446",NA,"RPA3",NA
"447",NA,"RPS26",NA
"448",NA,"ZDHHC4",NA
"449",NA,"TMSB4X",NA
"450",NA,"CRACR2B",NA
"451",NA,"NAV1",NA
"452",NA,"CDKN2A",NA
"453",NA,"GPR179",NA
"454",NA,"ELOC",NA
"455",NA,"GNRHR2",NA
"456",NA,"DYNLL1",NA
"457",NA,"UQCC3",NA
"458",NA,"S100A13",NA
"459",NA,"RPL13",NA
"460",NA,"EEF1A1",NA
"461",NA,"LGMN",NA
"462",NA,"CNIH4",NA
"463",NA,"H1-3",NA
"464",NA,"RORB",NA
"465",NA,"LAMTOR4",NA
"466",NA,"GAS5",NA
"467",NA,"ATN1",NA
"468",NA,"PITPNM2",NA
"469",NA,"PNPLA2",NA
"470",NA,"SLC2A13",NA
"471",NA,"MRPS17",NA
"472",NA,"MYRF",NA
"473",NA,"SNORA46",NA
"474",NA,"RPLP0",NA
"475",NA,"H2BC3",NA
"476",NA,"RPS2P47",NA
"477",NA,"FAM215A",NA
"478",NA,"MRPL33",NA
"479",NA,"C6orf132",NA
"480",NA,"ATP5MF",NA
"481",NA,"AANAT",NA
"482",NA,"GFPT1",NA
"483",NA,"TMEM88B",NA
"484",NA,"NDUFA3",NA
"485",NA,"GNAO1",NA
"486",NA,"GPLD1",NA
"487",NA,"NDUFA2",NA
"488",NA,"MCTS1",NA
"489",NA,"ROPN1L",NA
"490",NA,"PPIA",NA
"491",NA,"THUMPD3-AS1",NA
"492",NA,"RMND5A",NA
"493",NA,"MEFV",NA
"494",NA,"MRPS16",NA
"495",NA,"H1-4",NA
"496",NA,"CAMKK1",NA
"497",NA,"NDUFA1",NA
"498",NA,"IFNAR2",NA
"499",NA,"ATP5MK",NA
"500",NA,"TCEANC2",NA
"501",NA,"HINT1",NA
"502",NA,"RPL29",NA
"503",NA,"CCDC167",NA
"504",NA,"H3C10",NA
"505",NA,"MROH7",NA
"506",NA,"PTCHD4",NA
"507",NA,"NDUFA7",NA
"508",NA,"TMEM14EP",NA
"509",NA,"SPHK1",NA
"510",NA,"RPL3",NA
"511",NA,"ZBTB18",NA
"512",NA,"UQCC5",NA
"513",NA,"BIRC7",NA
"514",NA,"RPL26L1",NA
"515",NA,"TMEM95",NA
"516",NA,"MIF",NA
"517",NA,"HSPE1",NA
"518",NA,"SYT3",NA
"519",NA,"CCDC177",NA
"520",NA,"H3C7",NA
"521",NA,"SRP14",NA
"522",NA,"GABPB1-IT1",NA
"523",NA,"DKFZP586I1420",NA
"524",NA,"MAP4K3",NA
"525",NA,"C20orf141",NA
"526",NA,"MIR4453HG",NA
"527",NA,"PLXNA2",NA
"528",NA,"SDHA",NA
"529",NA,"ZNF827",NA
"530",NA,"ZNF430",NA
"531",NA,"HMGB1",NA
"532",NA,"COX7C",NA
"533",NA,"TIMM17B",NA
"534",NA,"POT1",NA
"535",NA,"COX5B",NA
"536",NA,"TOMM5",NA
"537",NA,"SCAF1",NA
"538",NA,"FLVCR2",NA
"539",NA,"TRDV2",NA
"540",NA,"SEC23B",NA
"541",NA,"LIPN",NA
"542",NA,"HSP90AA1",NA
"543",NA,"TMSB4XP8",NA
"544",NA,"CD79A",NA
"545",NA,"B4GALT6",NA
"546",NA,"PIK3R5",NA
"547",NA,"ARFGEF3",NA
"548",NA,"FAM135A",NA
"549",NA,"YTHDC1",NA
"550",NA,"MIOX",NA
"551",NA,"LRRC58",NA
"552",NA,"LINC01667",NA
"553",NA,"SMIM26",NA
"554",NA,"FAM184B",NA
"555",NA,"CHAT",NA
"556",NA,"GLIDR",NA
"557",NA,"H3C8",NA
"558",NA,"WDR33",NA
"559",NA,"SERF2",NA
"560",NA,"NPHS2",NA
"561",NA,"C12orf75",NA
"562",NA,"LOC283731",NA
"563",NA,"OR52E8",NA
"564",NA,"LINC00205",NA
"565",NA,"H2BC11",NA
"566",NA,"UXT",NA
"567",NA,"PRM2",NA
"568",NA,"ATXN3L",NA
"569",NA,"UBL4A",NA
"570",NA,"ANKFY1",NA
"571",NA,"FAM216B",NA
"572",NA,"AKNA",NA
"573",NA,"PRB3",NA
"574",NA,"EPB41L5",NA
"575",NA,"CEP97",NA
"576",NA,"KIAA0319L",NA
"577",NA,"NDUFAF2",NA
"578",NA,"ZMAT3",NA
"579",NA,"LYSMD3",NA
"580",NA,"CFAP97D1",NA
"581",NA,"SNRPE",NA
"582",NA,"RPL18A",NA
"583",NA,"LGALS1",NA
"584",NA,"TP53TG1",NA
"585",NA,"ALAD",NA
"586",NA,"TAF4",NA
"587",NA,"VPS13D",NA
"588",NA,"MUC3A",NA
"589",NA,"SPANXN2",NA
"590",NA,"SYNGR2",NA
"591",NA,"ZNF366",NA
"592",NA,"KRIT1",NA
"593",NA,"SNHG32",NA
"594",NA,"LCORL",NA
"595",NA,"RNASEK",NA
"596",NA,"FOXK1",NA
"597",NA,"ZNF346",NA
"598",NA,"MYO7B",NA
"599",NA,"LINC01004",NA
"600",NA,"S100A5",NA
"601",NA,"PLCXD1",NA
"602",NA,"UQCRH",NA
"603",NA,"LINC00355",NA
"604",NA,"LINC02817",NA
"605",NA,"EPM2AIP1",NA
"606",NA,"CDH22",NA
"607",NA,"GOLGB1",NA
"608",NA,"MICOS10P1",NA
"609",NA,"GEMIN6",NA
"610",NA,"CMIP",NA
"611",NA,"MIR600HG",NA
"612",NA,"RPL29P2",NA
"613",NA,"SCARNA2",NA
"614",NA,"FGF7P6",NA
"615",NA,"CEACAM19",NA
"616",NA,"ZNF483",NA
"617",NA,"NPC2",NA
"618",NA,"CRLF2",NA
"619",NA,"CKS1B",NA
"620",NA,"NEURL1",NA
"621",NA,"CYP4V2",NA
"622",NA,"SELENOM",NA
"623",NA,"SNHG29",NA
"624",NA,"H3C15",NA
"625",NA,"KATNBL1",NA
"626",NA,"HAPLN2",NA
"627",NA,"UQCR10",NA
"628",NA,"CSH1",NA
"629",NA,"H2AC13",NA
"630",NA,"CCDC66",NA
"631",NA,"ST6GALNAC5",NA
"632",NA,"LINC00487",NA
"633",NA,"MAGEB6",NA
"634",NA,"LINC00685",NA
"635",NA,"NDUFB1",NA
"636",NA,"METTL26",NA
"637",NA,"ATP5PO",NA
"638",NA,"MALT1",NA
"639",NA,"CCNG2",NA
"640",NA,"WNT10B",NA
"641",NA,"TMEM256",NA
"642",NA,"LILRA1",NA
"643",NA,"SCARNA16",NA
"644",NA,"GGT8P",NA
