"","Canonical","NonCanonical","Atypical"
"477","SLC16A9","RBM8A","LZTS3"
"478","EEF1D","NOL7","SLC51B"
"479","MND1","KIDINS220","FABP5"
"480","POLR2I","NDUFAB1","GATD1-DT"
"481","SNTB1","LBHD1","SLC10A2"
"482","DAO","COX17","DNAJC3"
"483","PITX2","RPL13AP3","ZNF827"
"484","MCM3","KIAA2026","RPL36A"
"485","IL1R2","ATP5ME","LPCAT1"
"486","CDH19","FURIN","PTMS"
"487","HAPLN1","MAST3","TMEM158"
"488","SINHCAF","COX7A2","SPINK5"
"489","TMEM14EP","YDJC","S100A14"
"490","ADH1B","FBXL17","H4C8"
"491","GTF2IRD1","RPL7A","DNM3"
"492","NEUROD1","COX6C","RPL12"
"493","H2BC15","NDUFA1","TPSG1"
"494","LRRC19","MAGOHB","CAVIN4"
"495","KLHDC1","ZNHIT1","FAM217B"
"496","CXCL1","SNORA74A","GSDMC"
"497","RDH5","COX8A","SNORA81"
"498","FAM86B2","SNRPD1","PRAC2"
"499","LINC00294","SUN2","TBX3"
"500","SEMA6D","RTRAF","ZMAT3"
"501","EFCAB11","LINC01000","H4C13"
"502","SYNJ1","DNAJB14","LOC401127"
"503","FMO4","DCUN1D5","C4orf19"
"504","SEMA6A","RPLP2","PPP1R37"
"505","LMTK3","NICOL1","F2RL2"
"506","RPS15AP10","NFATC3","RNF208"
"507","PTGDR","NDUFA8","SNAI1"
"508","PSMB7","BTAF1","HAUS5"
"509","HDGF","RPL41","FABP1"
"510","TRAIP","LAMTOR2","XAGE-4"
"511","ZNRD2","RPL9","GPR15LG"
"512","ARHGAP44","DEF8","RAD54B"
"513","TSHZ1","SMAD2","ADH1C"
"514","ARPIN","POLR2J4","PPY"
"515","RMDN2","RPL34","H4C5"
"516","NME2","SSR4","GUCA2A"
"517","RRP9","HIPK1","RPS2"
"518","GAL","RPL13A","UNC5CL"
"519","AQP8","PSME2","RIMKLA"
"520","MAN2A1","UBE3B","LCE1D"
"521","NXT1","RNASEH2A","ADAMTS9"
"522","C1orf21","SNORA73A","SCARNA17"
"523","HYCC2","HERC1","SLF2"
"524","FBXL17","COPS6","TGFB1"
"525","PTDSS1","CDK17","HKDC1"
"526","ZBTB7C","POP4","PSD"
"527","MRPS12","PDE7A","ST6GALNAC6"
"528","PTRH1","ARPC2","ANLN"
"529","ALPI","COX7C","ABHD2"
"530","UBTD1","MRTFA","BEST2"
"531","AGL","ARL6IP4","ECT2"
"532","MAGOHB","SH2B1","DHRS11"
"533","TOMM5","MAN2B2","NES"
"534","PSMB2","PRDX1","CLDN23"
"535","GBA3","POLK","LZTS1"
"536","GLA","COA4","EDNRA"
"537","MMP7","SZT2","C16orf89"
"538","BBLN","PIP5K1C","LCTL"
"539","TMPRSS2","RPL28","AGT"
"540","FAM3C","LSM2","CPB1"
"541","SNHG32","ATP5MC2","NOTCH3"
"542","TMEM236","MORC2-AS1","SLC22A18AS"
"543","MEX3A","PHLPP1","SIM2"
"544","B3GALT1","TRAPPC11","KIF23-AS1"
"545","LDHD","AFF1","ADAMTS7"
"546","BTBD7","GNAI1","CBY2"
"547","CNIH4","RMRP","SERPINE2"
"548","NAAA","SDHAF4","HLA-DMB"
"549","CDKL1","TLN1","PYY2"
"550","UNC5C","NDUFA13","KIFC1"
"551","LSM7","ATOSA","HPGDS"
"552","SNORA23","TERC","FAM151A"
"553","NPTN","ARHGAP17","BGN"
"554","CENPA","RAB14","FLT1"
"555","FIRRM","C19orf48P","KIF20A"
"556","RNF138","CYTOR","PITX2"
"557","CIBAR1","NACA4P","PHLDA1"
"558","ARF6","NDUFA3","AVIL"
"559","LIFR","NCOA3","HSPA12B"
"560","SPNS3","DHDDS","SMR3A"
"561","AKAP7","COG7","SLCO4A1"
"562","RPP21","ZNF321P","NAV1"
"563","GPD1L","ARHGEF1","NDUFA4L2"
"564","COL12A1","CCDC86","CARD14"
"565","P2RX1","SCARNA12","ZNRF3"
"566","PDGFD","RPS3","KIF4A"
"567","BTBD16","RPL17","PRR20B"
"568","KCNB1","DYNLL1","CCDC113"
"569","HJURP","NELFE","EXOC3L2"
"570","MUC13","RPS3A","FAP"
"571","LPCAT4","TMSB4X","CSF3"
"572","COPRS","MORN2","CYP17A1"
"573","NAPEPLD","UBE2D4","SHC3"
"574","ASAP3","MAN2C1","POFUT1"
"575","EME1","UBXN7","SST"
"576","CPT2","C20orf141","NOX4"
"577","H2AC15","FBLIM1","GPAT2"
"578","TRPM6","H3C15","HLA-DPB1"
"579","ENTREP1","RUFY2","MCAM"
"580","NOX4","FTL","TYMP"
"581","NTAQ1","REXO2","EXTL3-AS1"
"582","GALNT7","RPS12","MDFI"
"583","SSBP1","MAML1","REP15"
"584","NTN4","TXN","IL11"
"585","TENT5A","SP100","TRIB3"
"586","RIC3","GFPT1","PDX1"
"587","FJX1","COX6A1","ETV5"
"588","ZDHHC4","STXBP5","LCLAT1"
"589","VWA5B2","DLGAP1-AS1","DPEP3"
"590","CNTN3","SMIM26","EPOP"
"591","ABI3BP","RPS2","SMOX"
"592","TOMM34","HMGB3P1","PODNL1"
"593","CLMN","EXOSC4","JCAD"
"594","CACNA1A","CIAO2B","GJC1"
"595","EDN3","CHCHD1","FAM74A4"
"596","DYRK2","ACBD6","VSIG2"
"597","ENTREP2","NRDE2","H4C12"
"598","KIF23-AS1","SVBP","KRTAP13-1"
"599","GCG","SCARNA16","RETNLB"
"600","DKC1","KMT2E-AS1","HTRA3"
"601","UNC13B","PSMB5","TMEM61"
"602","TMEM237","KATNIP","CHSY3"
"603","VSNL1","IFT25","ST3GAL1"
"604","GUCA2B","REL","FAM3D"
"605","GPT","SYNE3","TTC22"
"606","CCDC152","AP2S1","ADAMTS5"
"607","CETN2","EIF3E","PMP2"
"608","CEBPB","C6orf89","RPGRIP1L"
"609","PXMP4","MDM2","ADAMTS14"
"610","CHST5","MRPL23","ANXA9"
"611","SLC2A13","IFITM2","THBS2"
"612","PPP1R14B","KANSL3","LPL"
"613","GALK1","RNF111","GTSE1"
"614","ZNF593","MRPL27","NUPR1"
"615","MBOAT1","NDUFB3","EHD3"
"616","ZHX1-C8orf76","PTMA","SLC66A1"
"617","ADGRB3","GAS5","DNASE1L3"
"618","PROCR","DPCD","TMEM253"
"619","ANKRD20A11P","ILF2","GRIN2B"
"620","ACAN","NFU1","CCDC150"
"621","CDC14A","RAVER1","MISP3"
"622","MAST3","NDUFA2","LDLRAD3"
"623","RBM24","TEN1","TTR"
"624","ZNF525","TMEM14A","FJX1"
"625","KIF1A","PSMB2","SOX11"
"626","SCARNA12","MRPS34","PCDH12"
"627","PRDX4","TMEM205","SLC4A11"
"628","FAM89A","MAP3K13","SNORA28"
"629","EPSTI1","MRPL18","LTK"
"630","CDKL2","MEGF8","STRIP2"
"631","SH3BGRL2","ALAD","NKD1"
"632","SLC2A8","MAN2A1","SCGB2A1"
"633","TEDC2","TMSB4XP8","FLJ42393"
"634","C4orf19","USP34","MFAP2"
"635","ENDOV","MCM9","CREB5"
"636","PPIL1","FAM13A-AS1","CACNA1D"
