"","Canonical","NonCanonical","Atypical"
"323","CMSS1","LINC02860","CLCA1"
"324","MAPK10","SHBG","DGAT2"
"325","QRSL1","SERF2","FRMD3"
"326","PDK4","SFTA2","CYP2S1"
"327","HIKESHI","DEFB133","KAT2A"
"328","RHOF","LOXL3","PSORS1C3"
"329","GUCA2A","GBX2","FAM3D"
"330","SECTM1","KRT38","C15orf48"
"331","CDK4","CCDC183","PDE4B"
"332","PRDX4","UQCRFS1","NSMF"
"333","DDX21","CAMK2D","WDR90"
"334","NCAPD2","TMEM266","BRCA1"
"335","NPY","ZNF708","TNFSF10"
"336","PLAG1","FYB2","TNFRSF11B"
"337","FAM107A","BOLL","DCLK1"
"338","CCL21","WDR46","IL1R2"
"339","MYO3A","ABTB3","CPNE7"
"340","FGF19","GGN","GIMAP5"
"341","MSMO1","TRPV1","CBX2"
"342","SPINK5","POLN","TCEAL8"
"343","CHP2","CKM","MCTP2"
"344","CDCA2","SEC62","PPME1"
"345","PDZRN4","ADH5","NRIP1"
"346","MS4A12","NOSTRIN","PARM1"
"347","NDN","OR1L1","MCRIP1"
"348","SMYD1","ATP23","THEMIS"
"349","RARRES1","FRMPD1","BCAS1"
"350","SORD","ETV3L","TKT"
"351","HSPA8","TMEM213","DOP1B"
"352","PLIN4","NPPA","CR1"
"353","CD1A","CYP2J2","HCST"
"354","E2F7","ALYREF","MYBL2"
"355","ZBTB20","XBP1","DSN1"
"356","CNTN2","OR1S2","PIGW"
"357","MCM10","SHMT2","CPT2"
"358","TTLL6","SEPHS2","FAM20A"
"359","HSPA6","DEFB4A","TUSC3"
"360","PDCD2L","OR2M7","TMEM171"
"361","SLC5A1","TGM5","G6PD"
"362","BATF","MB","GIMAP8"
"363","KBTBD11","SLC11A2","F2RL1"
"364","MOCS3","SLC25A3","LINC03040"
"365","PAPPA","HSPA8","CLIC6"
"366","ABCA8","ALOX12","TBC1D31"
"367","SLC18A1","LAMP1","IFIT2"
"368","HS6ST2","CAPS","RIPOR2"
"369","CKS2","CC2D1B","TMCC3"
"370","APMAP","HTR3B","LIFR"
"371","GADD45B","SULT2B1","FABP4"
"372","TRANK1","CDH10","MPC1"
"373","AIM2","CFAP144","TLCD4"
"374","SH3BP5","TCAF2","PKM"
"375","UPK3A","POLR2L","AGPAT4"
"376","SYNDIG1","EEF2","PKIB"
"377","CENPA","KCNJ16","SEMA6A"
"378","FBXO32","CYB5A","CDK5RAP1"
"379","FAM20A","VTCN1","ZMYND8"
"380","FST","KIF18B","KLHL6"
"381","ADAMTS6","WNT7A","RCAN1"
"382","SLITRK3","MSMO1","GREB1"
"383","BTLA","TNFRSF11B","TEX11"
"384","CKS1B","FAM3D","DENND2A"
"385","ISL1","PLA2R1","TSPAN2"
"386","GAL","MAP3K19","VAMP8"
"387","ADORA3","PSMB11","CA2"
"388","PLA2G10","PDCD4","CILP"
"389","COL5A3","FOXB2","GNG11"
"390","KANSL1L","C2CD4C","QSOX2"
"391","LTB","LCE4A","RNASE4"
"392","MALL","MPP2","UPP1"
"393","IL33","CAPN14","TTK"
"394","GBX2","PRKY","FCGR2C"
"395","CPEB3","ZDHHC19","HTR3B"
"396","TMEM97","DENND1C","REG4"
"397","LIMS2","FOSL2","MFSD12"
"398","LRRC4C","YBX2","HOXD9"
"399","CCR2","TAS1R1","HRCT1"
"400","KLRK1","LCAT","SPINK5"
"401","MCM8","GAS2L2","GPAT3"
"402","ARHGEF39","HGH1","SLC44A4"
"403","TNFSF13B","CEACAM22P","SCIN"
"404","TBX10","FBP2","MSH5"
"405","PACC1","MRPS35","GIMAP4"
"406","HOXC4","TLCD4","TAGAP"
"407","PODN","TACC1","MTBP"
"408","GPT","IDI1","ISX"
"409","HOXD4","TSPOAP1","RETSAT"
"410","VIPR1","KRT31","ANG"
"411","GINS1","GLIPR1L1","TPSG1"
"412","TPX2","ICAM3","B3GALT2"
"413","TAGAP","ANKS4B","MS4A7"
"414","TIAM1","POM121L9P","BANK1"
"415","MFAP5","NANOS3","NR3C1"
"416","FDCSP","FGF3","LMCD1"
"417","C19orf48P","CREBL2","ASAP3"
"418","PDZK1","CD302","LCP1"
"419","SCARA5","CD9","PDGFRA"
"420","ADH1B","COX6B2","HOXD11"
"421","AMIGO2","LAMTOR2","RNF125"
"422","MUC1","SNHG29","FGF2"
"423","PPP6R1","HADH","ALDH1A3"
"424","CD79A","QRSL1","GMFG"
"425","CYBRD1","KCNJ9","VGLL1"
"426","CHRDL2","AP1S1","MARCHF3"
"427","NAAA","MRPL41","BAG1"
"428","ENTPD5","SMCO4","CLEC14A"
"429","RASSF9","GARIN5B","BTNL3"
"430","CITED1","GARIN2","ITGA2"
"431","DNAJC3","EPHX2","KLF4"
"432","TICRR","MGAT5B","CPQ"
"433","HOXD1","ITPRID1","CHAC1"
"434","COL7A1","MAT2B","ARID3A"
"435","CXCR5","CPA3","GPT"
