"","Canonical","NonCanonical","Atypical"
"421","OR6Q1","PPP1R1C","KCNG2"
"422","MAP1LC3C","CARD6","LAMB3"
"423","NECAB2","FADS6","RTL9"
"424","KLHL4","FAM78B","PATJ"
"425","APLP1","PIANP","LPAR4"
"426","KY","DNAJC5G","SPP1"
"427","EFCAB8","SLC5A10","ADAT2"
"428","RAD51D","GATA1","PAX3"
"429","RGR","OR2A25","KIRREL3"
"430","ZNF470","PCDHA4","FIBIN"
"431","C8orf17","PTPRS","EPHX4"
"432","GATA1","TBX6","TMEM229A"
"433","PSG9","PCDHAC1","CSMD2"
"434","TMX1","TRIM50","SLC25A27"
"435","CACNG1","OR2A5","ARL14"
"436","SLC17A7","C22orf39","GAPDHS"
"437","HDAC10","CMAHP","PPP1R14C"
"438","VWA7","KLHDC8A","ZCCHC18"
"439","RASL10A","THRSP","OR10Z1"
"440","LINC02687","JTB","COMMD6"
"441","H2BC11","LCE3B","SMCO2"
"442","OR4C3","HPCA","CNDP1"
"443","KLRG2","OR52E2","MTHFD1L"
"444","USH1G","GPRIN1","ABCC6P1"
"445","GDPD4","OR1I1","PPEF1"
"446","RPGRIP1L","KNDC1","MMP23B"
"447","ALDOAP2","ZSCAN5B","FMNL1"
"448","SLC26A5","DNAH6","CENPT"
"449","UTS2B","SEC14L4","FAM24B"
"450","TMEM95","SPRR4","MTNR1A"
"451","ATP1A2","KRT83","ALPK2"
"452","ZNF513","ABCC8","SNAI2"
"453","NR5A1","GMIP","OR52A4P"
"454","F8","SFMBT2","IGFL3"
"455","SFMBT2","C9orf153","RPS21"
"456","C22orf15","EPHA8","MEX3B"
"457","OR1E1","RASGEF1C","MAP4K3"
"458","ATP13A4","BOLL","SLC25A6"
"459","CMAHP","DRD3","ASTN1"
"460","MICAL2","SLC26A8","TDRD6"
"461","SH2D5","OR9A4","SORD"
"462","OR52B4","UBE2L3","INPP1"
"463","PCDHAC1","LCE1F","ARMC10"
"464","FAM83G","CATSPERZ","ADAMTS2"
"465","CACNG3","ANO2","COX14"
"466","LINC02880","ASB12","MRGPRX3"
"467","PARD3B","EXOC3L2","OR5P3"
"468","CSN2","SNAP25","DNAJC6"
"469","TMED3","NTNG1","DIP2C"
"470","MC1R","PIK3R5","NOPCHAP1"
"471","FEZF2","SP6","SATB2"
"472","PNPLA5","COL2A1","ACSM1"
"473","FKBP11","WNT9B","IPO5"
"474","PDILT","CYP2F1","CSPP1"
"475","SPANXN2","DLX4","IRS2"
"476","CATSPERZ","PABPN1L","GBA2"
"477","CRACDL","WDR38","CHRNB2"
"478","CASZ1","SAMD15","DCUN1D5"
"479","GARIN3","KCNF1","CEP126"
"480","GKN1","FEZF2","PRMT3"
"481","CNR2","SEC62","GPR37"
"482","TTC16","CLSPN","C12orf71"
"483","TRPV3","C19orf38","CCDC185"
"484","HEPHL1","SLC25A34","SLC25A34"
"485","PAPPA2","BLOC1S3","GLT8D2"
"486","FLJ33534","OR5M8","GPR160"
"487","SLC25A53","OR4X2","TSHZ3"
"488","GPR31","PKNOX2","KIRREL1"
"489","PLIN4","MYT1","RNF39"
"490","NPAS1","CYP2C19","PTAFR"
"491","RHOBTB2","PLIN4","FAT3"
"492","LINC01126","CHID1","EEF1D"
"493","LOC645261","HMCN2","EPYC"
"494","KIF9","CARMIL2","LOXHD1"
"495","MVB12B","GLP1R","CERKL"
